,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
lam_rotated_[0],-0.147,0.993,-1.84,1.436,0.01,0.011,10392.0,5882.0,1.0
lam_rotated_[1],-0.148,1.001,-1.794,1.479,0.01,0.012,10571.0,5727.0,1.0
lam_rotated_[2],-0.142,0.998,-1.779,1.453,0.01,0.011,9656.0,6466.0,1.0
lam_rotated_[3],-0.111,1.011,-1.719,1.592,0.01,0.011,10288.0,6060.0,1.0
lam_rotated_[4],-0.132,0.993,-1.764,1.495,0.01,0.011,10693.0,6146.0,1.0
lam_rotated_[5],-0.139,1.016,-1.837,1.485,0.01,0.012,11389.0,5892.0,1.0
lam_rotated_[6],-0.137,0.983,-1.731,1.461,0.01,0.012,10418.0,5764.0,1.0
lam_rotated_[7],-0.126,0.998,-1.716,1.551,0.01,0.012,10350.0,5738.0,1.0
lam_rotated_[8],-0.099,0.989,-1.724,1.535,0.01,0.012,10363.0,5735.0,1.0
lam_rotated_[9],-0.086,0.967,-1.678,1.523,0.01,0.01,9932.0,6449.0,1.0
lam_rotated_[10],-0.066,0.986,-1.741,1.494,0.01,0.011,9947.0,6356.0,1.0
lam_rotated_[11],-0.076,1.016,-1.729,1.603,0.01,0.012,10116.0,5847.0,1.0
lam_rotated_[12],-0.087,0.994,-1.69,1.563,0.01,0.011,9661.0,5706.0,1.0
lam_rotated_[13],-0.107,0.982,-1.705,1.537,0.01,0.011,9035.0,5589.0,1.0
lam_rotated_[14],-0.117,0.996,-1.673,1.588,0.009,0.012,11290.0,5871.0,1.0
lam_rotated_[15],-0.113,0.998,-1.77,1.485,0.01,0.011,10134.0,6008.0,1.0
lam_rotated_[16],-0.121,0.992,-1.744,1.533,0.01,0.012,10251.0,5853.0,1.0
lam_rotated_[17],-0.107,0.987,-1.781,1.444,0.009,0.012,12353.0,6299.0,1.0
lam_rotated_[18],-0.145,1.004,-1.826,1.477,0.01,0.012,10362.0,6158.0,1.0
lam_rotated_[19],-0.114,1.021,-1.765,1.588,0.01,0.012,10959.0,6330.0,1.0
