,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
f_rotated_[Afghanistan],-0.163,0.969,-1.66,1.511,0.012,0.017,6984.0,2891.0,1.0
f_rotated_[Akrotiri and Dhekelia],-1.201,0.827,-2.595,0.067,0.014,0.01,3425.0,2609.0,1.0
f_rotated_[Åland],-0.527,0.961,-2.092,1.084,0.014,0.015,4640.0,2522.0,1.0
f_rotated_[Albania],-1.219,0.846,-2.537,0.23,0.017,0.012,2619.0,2039.0,1.0
f_rotated_[Algeria],-0.349,0.994,-2.015,1.268,0.012,0.016,7347.0,2610.0,1.0
f_rotated_[American Samoa],0.156,0.655,-0.949,1.2,0.009,0.012,5940.0,2650.0,1.0
f_rotated_[Andorra],-0.56,0.952,-2.249,0.895,0.013,0.013,5181.0,2814.0,1.0
f_rotated_[Angola],-0.339,0.977,-1.949,1.27,0.012,0.017,6772.0,2788.0,1.0
f_rotated_[Anguilla],-0.445,0.553,-1.273,0.509,0.012,0.011,2362.0,1735.0,1.0
f_rotated_[Antigua and Barbuda],-0.375,0.662,-1.466,0.695,0.01,0.009,4462.0,2712.0,1.0
f_rotated_[Argentina],0.991,0.515,0.153,1.824,0.006,0.005,6984.0,2694.0,1.0
f_rotated_[Armenia],-0.728,0.947,-2.2,0.874,0.013,0.014,5704.0,2746.0,1.0
f_rotated_[Aruba],-0.108,0.618,-1.087,0.883,0.008,0.013,6158.0,2505.0,1.0
f_rotated_[Australia],0.984,0.523,0.152,1.839,0.007,0.005,7109.0,2356.0,1.0
f_rotated_[Austria],-1.109,0.902,-2.599,0.31,0.018,0.013,2716.0,1856.0,1.0
f_rotated_[Azerbaijan],-0.344,0.943,-1.869,1.211,0.011,0.016,7655.0,2651.0,1.0
f_rotated_[Bahamas],0.601,0.561,-0.319,1.495,0.009,0.006,4372.0,2945.0,1.0
f_rotated_[Bahrain],-0.645,0.895,-2.135,0.776,0.011,0.012,6221.0,2629.0,1.0
f_rotated_[Bangladesh],0.323,0.602,-0.652,1.286,0.007,0.008,7653.0,2989.0,1.0
f_rotated_[Barbados],0.57,0.718,-0.597,1.751,0.018,0.013,1583.0,1900.0,1.0
f_rotated_[Belarus],-0.581,0.961,-2.206,0.979,0.013,0.014,5875.0,2823.0,1.0
f_rotated_[Belgium],-0.935,0.902,-2.479,0.475,0.015,0.011,3670.0,2368.0,1.0
f_rotated_[Belize],0.342,0.57,-0.561,1.296,0.007,0.008,5962.0,2929.0,1.0
f_rotated_[Benin],-0.269,0.859,-1.722,1.076,0.013,0.013,4285.0,2566.0,1.0
f_rotated_[Bermuda],-0.33,0.956,-1.86,1.318,0.011,0.016,7238.0,2940.0,1.0
f_rotated_[Bhutan],-0.193,0.753,-1.41,1.007,0.009,0.012,6943.0,3003.0,1.0
f_rotated_[Bolivia],0.993,0.52,0.178,1.86,0.007,0.005,6584.0,2473.0,1.0
"f_rotated_[Bonaire, Saint Eustatius and Saba]",0.251,0.98,-1.442,1.798,0.019,0.016,2610.0,2612.0,1.0
f_rotated_[Bosnia and Herzegovina],-0.489,0.939,-2.116,0.975,0.012,0.012,6095.0,2798.0,1.0
f_rotated_[Botswana],-0.471,0.966,-2.1,1.028,0.013,0.016,5970.0,2619.0,1.0
f_rotated_[Bouvet Island],-0.325,1.002,-2.021,1.272,0.012,0.016,7793.0,2647.0,1.0
f_rotated_[Brazil],3.886,0.14,3.659,4.121,0.001,0.001,8849.0,2935.0,1.0
f_rotated_[British Indian Ocean Territory],-0.345,0.935,-1.882,1.172,0.011,0.016,7446.0,2576.0,1.0
f_rotated_[British Virgin Islands],0.829,0.844,-0.56,2.165,0.015,0.011,3156.0,2277.0,1.0
f_rotated_[Brunei],0.063,0.95,-1.597,1.563,0.014,0.015,4447.0,3035.0,1.0
f_rotated_[Bulgaria],-0.574,0.939,-2.146,0.916,0.011,0.014,6681.0,2695.0,1.0
f_rotated_[Burkina Faso],-0.07,0.722,-1.308,1.063,0.01,0.013,5951.0,2362.0,1.0
f_rotated_[Burundi],-0.501,0.929,-1.946,1.09,0.012,0.014,6027.0,2530.0,1.0
f_rotated_[Cambodia],0.412,0.657,-0.66,1.445,0.016,0.011,1902.0,2228.0,1.0
f_rotated_[Cameroon],1.475,0.423,0.775,2.153,0.006,0.004,6374.0,2736.0,1.0
f_rotated_[Canada],-0.321,1.023,-2.045,1.331,0.011,0.017,8559.0,2782.0,1.0
f_rotated_[Cape Verde],2.137,0.322,1.609,2.659,0.004,0.003,6582.0,2691.0,1.0
f_rotated_[Caspian Sea],-0.296,0.967,-1.781,1.393,0.011,0.017,7252.0,2555.0,1.0
f_rotated_[Cayman Islands],0.036,0.655,-1.049,1.08,0.009,0.011,5219.0,2540.0,1.0
f_rotated_[Central African Republic],-0.381,0.976,-1.888,1.301,0.012,0.016,6225.0,2749.0,1.0
f_rotated_[Chad],-0.127,0.719,-1.352,0.996,0.009,0.013,7072.0,2353.0,1.0
f_rotated_[Chile],-0.16,0.742,-1.395,1.013,0.009,0.013,7476.0,2713.0,1.0
f_rotated_[China],0.683,0.571,-0.231,1.641,0.007,0.005,7320.0,2627.0,1.0
f_rotated_[Christmas Island],-0.322,0.957,-1.892,1.27,0.011,0.017,7520.0,2486.0,1.0
f_rotated_[Clipperton Island],-0.319,0.967,-2.006,1.111,0.011,0.016,7836.0,2635.0,1.0
f_rotated_[Cocos Islands],-0.293,0.971,-1.921,1.22,0.012,0.017,7461.0,2630.0,1.0
