LOCATION_TYPE,ADMIN_LEVEL,GAUL_AD0,GAUL_AD1,GAUL_AD2,POINT_ID,UNIQUE_LOCATION,X,Y,YEAR,COUNTRY,REGION
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1960,Thailand,Asia
polygon,2,240,1761,26404,-999,104125,100.481002,13.730408,1960,Thailand,Asia
polygon,0,222,-999,-999,-999,3346,103.807965,1.349812,1960,Singapore,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1961,Thailand,Asia
polygon,2,240,1761,26404,-999,104125,100.481002,13.730408,1961,Thailand,Asia
polygon,2,115,1542,70254,-999,147975,78.998148,12.800638,1962,India,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1962,Thailand,Asia
polygon,2,240,1761,26404,-999,104125,100.481002,13.730408,1962,Thailand,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1963,Viet Nam,Asia
polygon,2,115,1542,70254,-999,147975,78.998148,12.800638,1963,India,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1963,Thailand,Asia
polygon,2,240,1761,26404,-999,104125,100.481002,13.730408,1963,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1963,Puerto Rico,Americas
polygon,2,115,1032,70292,-999,148013,88.352338,22.55173,1963,India,Asia
polygon,2,115,1542,70254,-999,147975,78.998148,12.800638,1964,India,Asia
polygon,2,182,304,23016,-999,100737,3.895504,7.409858,1964,Nigeria,Africa
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1964,Thailand,Asia
polygon,2,240,1761,26404,-999,104125,100.481002,13.730408,1964,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1964,Puerto Rico,Americas
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1964,French Polynesia,Oceania
polygon,2,115,1032,70292,-999,148013,88.352338,22.55173,1964,India,Asia
polygon,1,240,41762,-999,-999,30080,104.434378,17.390915,1964,Thailand,Asia
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1964,Niue,Oceania
polygon,2,23,40211,5778,-999,83499,90.255709,23.797117,1964,Bangladesh,Asia
polygon,2,182,304,23016,-999,100737,3.895504,7.409858,1965,Nigeria,Africa
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1965,Thailand,Asia
polygon,2,240,1761,26404,-999,104125,100.481002,13.730408,1965,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1965,Puerto Rico,Americas
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1965,Niue,Oceania
polygon,2,115,1924,17566,-999,95287,82.681944,17.884744,1965,India,Asia
polygon,2,182,304,23016,-999,100737,3.895504,7.409858,1966,Nigeria,Africa
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1966,Thailand,Asia
polygon,2,240,1761,26404,-999,104125,100.481002,13.730408,1966,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1966,Puerto Rico,Americas
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1966,Niue,Oceania
polygon,2,182,304,23016,-999,100737,3.895504,7.409858,1967,Nigeria,Africa
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1967,Thailand,Asia
polygon,2,240,1761,26404,-999,104125,100.481002,13.730408,1967,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1967,Puerto Rico,Americas
polygon,1,115,2278,-999,-999,21019,77.108979,28.646519,1967,India,Asia
polygon,2,115,2938,17649,-999,95370,73.309191,21.234224,1967,India,Asia
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1967,Niue,Oceania
polygon,2,182,304,23016,-999,100737,3.895504,7.409858,1968,Nigeria,Africa
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1968,Thailand,Asia
